athlete_id,name,games,sport,event,medal
1,John Smith,2016 Summer,Swimming,Men's 100m Freestyle,Gold
2,Emily Johnson,2016 Summer,Swimming,Women's 200m Freestyle,Silver
3,Michael Brown,2016 Summer,Swimming,Men's 400m Freestyle,Bronze
4,Jessica Williams,2016 Summer,Swimming,Women's 100m Backstroke,Gold
5,David Jones,2016 Summer,Swimming,Men's 200m Backstroke,Silver
6,Sarah Garcia,2016 Summer,Swimming,Women's 200m Butterfly,Bronze
7,James Miller,2016 Summer,Athletics,Men's 100m,Gold
8,Robert Davis,2016 Summer,Athletics,Men's 200m,Silver
9,Linda Martinez,2016 Summer,Athletics,Women's 100m,Bronze
10,Patricia Rodriguez,2016 Summer,Athletics,Women's 200m,Gold
11,Daniel Wilson,2016 Summer,Athletics,Men's Long Jump,Silver
12,Elizabeth Taylor,2016 Summer,Athletics,Women's Long Jump,Bronze
13,Thomas Anderson,2016 Summer,Gymnastics,Men's Floor Exercise,Gold
14,Mark Thomas,2016 Summer,Gymnastics,Men's Vault,Silver
15,Nancy Jackson,2016 Summer,Gymnastics,Women's Balance Beam,Bronze
16,Charles White,2016 Summer,Gymnastics,Men's Parallel Bars,Gold
17,Margaret Harris,2016 Summer,Gymnastics,Women's Floor Exercise,Silver
18,George Martin,2016 Summer,Gymnastics,Women's Uneven Bars,Bronze
19,Steven Thompson,2016 Summer,Basketball,Men's Basketball,Gold
20,Christopher Garcia,2016 Summer,Basketball,Women's Basketball,Silver
21,Paul Robinson,2016 Summer,Football,Men's Football,Bronze
22,Mary Clark,2016 Summer,Football,Women's Football,Gold
23,Donald Lewis,2016 Summer,Tennis,Men's Singles,Silver
24,Susan Lee,2016 Summer,Tennis,Women's Singles,Bronze
25,Kevin Walker,2016 Summer,Tennis,Mixed Doubles,Gold
26,Edward Hall,2016 Summer,Boxing,Men's Lightweight,Silver
27,Matthew Allen,2016 Summer,Boxing,Men's Heavyweight,Bronze
28,Ashley Young,2016 Summer,Boxing,Women's Flyweight,Gold
29,Sandra King,2016 Summer,Judo,Women's Lightweight,Silver
30,Betty Wright,2016 Summer,Judo,Women's Heavyweight,Bronze
31,Richard Scott,2012 Summer,Swimming,Men's 100m Freestyle,Gold
32,Barbara Green,2012 Summer,Swimming,Women's 200m Freestyle,Silver
33,Joseph Adams,2012 Summer,Swimming,Men's 400m Freestyle,Bronze
34,Dorothy Baker,2012 Summer,Swimming,Women's 100m Backstroke,Gold
35,Jason Gonzalez,2012 Summer,Swimming,Men's 200m Backstroke,Silver
36,Kimberly Nelson,2012 Summer,Swimming,Women's 200m Butterfly,Bronze
37,Jeffrey Carter,2012 Summer,Athletics,Men's 100m,Gold
38,Ryan Mitchell,2012 Summer,Athletics,Men's 200m,Silver
39,Sharon Perez,2012 Summer,Athletics,Women's 100m,Bronze
40,Laura Roberts,2012 Summer,Athletics,Women's 200m,Gold
41,Harold Turner,2012 Summer,Athletics,Men's Long Jump,Silver
42,Carol Phillips,2012 Summer,Athletics,Women's Long Jump,Bronze
43,Anthony Campbell,2012 Summer,Gymnastics,Men's Floor Exercise,Gold
44,Daniel Evans,2012 Summer,Gymnastics,Men's Vault,Silver
45,Ruth Torres,2012 Summer,Gymnastics,Women's Balance Beam,Bronze
46,Stephen Edwards,2012 Summer,Gymnastics,Men's Parallel Bars,Gold
47,Deborah Collins,2012 Summer,Gymnastics,Women's Floor Exercise,Silver
48,Ronald Stewart,2012 Summer,Gymnastics,Women's Uneven Bars,Bronze
49,Daniel Murphy,2012 Summer,Basketball,Men's Basketball,Gold
50,Steven Rivera,2012 Summer,Basketball,Women's Basketball,Silver
51,Edward Morgan,2012 Summer,Football,Men's Football,Bronze
52,Michelle Wood,2012 Summer,Football,Women's Football,Gold
53,Larry Cook,2012 Summer,Tennis,Men's Singles,Silver
54,Sarah Bailey,2012 Summer,Tennis,Women's Singles,Bronze
55,William Bell,2012 Summer,Tennis,Mixed Doubles,Gold
56,Gary Cooper,2012 Summer,Boxing,Men's Lightweight,Silver
57,Raymond Richardson,2012 Summer,Boxing,Men's Heavyweight,Bronze
58,Nicole Cox,2012 Summer,Boxing,Women's Flyweight,Gold
59,Stephanie Howard,2012 Summer,Judo,Women's Lightweight,Silver
60,Melissa Ward,2012 Summer,Judo,Women's Heavyweight,Bronze
61,Kenneth Morris,2008 Summer,Swimming,Men's 100m Freestyle,Gold
62,Christine Kim,2008 Summer,Swimming,Women's 200m Freestyle,Silver
63,Joshua Flores,2008 Summer,Swimming,Men's 400m Freestyle,Bronze
64,Kathleen Price,2008 Summer,Swimming,Women's 100m Backstroke,Gold
65,Frank Brooks,2008 Summer,Swimming,Men's 200m Backstroke,Silver
66,Amanda Bennett,2008 Summer,Swimming,Women's 200m Butterfly,Bronze
67,Harry Wood,2008 Summer,Athletics,Men's 100m,Gold
68,Carl Barnes,2008 Summer,Athletics,Men's 200m,Silver
69,Anne Ross,2008 Summer,Athletics,Women's 100m,Bronze
70,Julia Henderson,2008 Summer,Athletics,Women's 200m,Gold
71,Harry Coleman,2008 Summer,Athletics,Men's Long Jump,Silver
72,Phyllis Gray,2008 Summer,Athletics,Women's Long Jump,Bronze
73,Jerry James,2008 Summer,Gymnastics,Men's Floor Exercise,Gold
74,Terry Watson,2008 Summer,Gymnastics,Men's Vault,Silver
75,Willie Brooks,2008 Summer,Gymnastics,Women's Balance Beam,Bronze
76,Ralph Alexander,2008 Summer,Gymnastics,Men's Parallel Bars,Gold
77,Joan Russell,2008 Summer,Gymnastics,Women's Floor Exercise,Silver
78,Roy Griffin,2008 Summer,Gymnastics,Women's Uneven Bars,Bronze
79,Wayne Diaz,2008 Summer,Basketball,Men's Basketball,Gold
80,Joe Hayes,2008 Summer,Basketball,Women's Basketball,Silver
81,Henry Gibson,2008 Summer,Football,Men's Football,Bronze
82,Beverly Carroll,2008 Summer,Football,Women's Football,Gold
83,Johnny Kelly,2008 Summer,Tennis,Men's Singles,Silver
84,Tammy Elliott,2008 Summer,Tennis,Women's Singles,Bronze
85,Phillip West,2008 Summer,Tennis,Mixed Doubles,Gold
86,Arthur Jordan,2008 Summer,Boxing,Men's Lightweight,Silver
87,Bruce Sullivan,2008 Summer,Boxing,Men's Heavyweight,Bronze
88,Donna Fowler,2008 Summer,Boxing,Women's Flyweight,Gold
89,Norma Graham,2008 Summer,Judo,Women's Lightweight,Silver
90,Pamela Sullivan,2008 Summer,Judo,Women's Heavyweight,Bronze
91,Earl Reynolds,2004 Summer,Swimming,Men's 100m Freestyle,Gold
92,Rachel Hunt,2004 Summer,Swimming,Women's 200m Freestyle,Silver
93,Eugene Dixon,2004 Summer,Swimming,Men's 400m Freestyle,Bronze
94,Wanda Shaw,2004 Summer,Swimming,Women's 100m Backstroke,Gold
95,Cecil Stone,2004 Summer,Swimming,Men's 200m Backstroke,Silver
96,Constance Hunt,2004 Summer,Swimming,Women's 200m Butterfly,Bronze
97,Glen Keller,2004 Summer,Athletics,Men's 100m,Gold
98,Glen Miles,2004 Summer,Athletics,Men's 200m,Silver
99,Marjorie Lane,2004 Summer,Athletics,Women's 100m,Bronze
100,Velma Perkins,2004 Summer,Athletics,Women's 200m,Gold
101,Freddie Grant,2004 Summer,Athletics,Men's Long Jump,Silver
102,Arlene Weber,2004 Summer,Athletics,Women's Long Jump,Bronze
103,Harvey Butler,2004 Summer,Gymnastics,Men's Floor Exercise,Gold
104,Victor Carpenter,2004 Summer,Gymnastics,Men's Vault,Silver
105,Gladys Stevens,2004 Summer,Gymnastics,Women's Balance Beam,Bronze
106,Lee McLaughlin,2004 Summer,Gymnastics,Men's Parallel Bars,Gold
107,Hazel Reyes,2004 Summer,Gymnastics,Women's Floor Exercise,Silver
108,Oscar Kennedy,2004 Summer,Gymnastics,Women's Uneven Bars,Bronze
109,Homer Fields,2004 Summer,Basketball,Men's Basketball,Gold
110,Bernard Mills,2004 Summer,Basketball,Women's Basketball,Silver
111,Angelo Alvarez,2004 Summer,Football,Men's Football,Bronze
112,Bertha Spencer,2004 Summer,Football,Women's Football,Gold
113,Rufus Warren,2004 Summer,Tennis,Men's Singles,Silver
114,Grace Daniels,2004 Summer,Tennis,Women's Singles,Bronze
115,Clifton George,2004 Summer,Tennis,Mixed Doubles,Gold
116,Clinton Austin,2004 Summer,Boxing,Men's Lightweight,Silver
117,Lyle Wallace,2004 Summer,Boxing,Men's Heavyweight,Bronze
118,Marian Nichols,2004 Summer,Boxing,Women's Flyweight,Gold
119,Lola Crawford,2004 Summer,Judo,Women's Lightweight,Silver
120,Suzanne Armstrong,2004 Summer,Judo,Women's Heavyweight,Bronze
121,Elliot Drake,2000 Summer,Swimming,Men's 100m Freestyle,Gold
122,Hilda Ramos,2000 Summer,Swimming,Women's 200m Freestyle,Silver
123,Wilbur Andrews,2000 Summer,Swimming,Men's 400m Freestyle,Bronze
124,Pearl Schneider,2000 Summer,Swimming,Women's 100m Backstroke,Gold
125,Floyd Walters,2000 Summer,Swimming,Men's 200m Backstroke,Silver
126,Genevieve Ryan,2000 Summer,Swimming,Women's 200m Butterfly,Bronze
127,Willis Burton,2000 Summer,Athletics,Men's 100m,Gold
128,Otis Palmer,2000 Summer,Athletics,Men's 200m,Silver
129,Ethel Drake,2000 Summer,Athletics,Women's 100m,Bronze
130,Mattie Vargas,2000 Summer,Athletics,Women's 200m,Gold
131,Clarence Glover,2000 Summer,Athletics,Men's Long Jump,Silver
132,Essie Klein,2000 Summer,Athletics,Women's Long Jump,Bronze
133,Chester Logan,2000 Summer,Gymnastics,Men's Floor Exercise,Gold
134,Ivan Maldonado,2000 Summer,Gymnastics,Men's Vault,Silver
135,Eloise Day,2000 Summer,Gymnastics,Women's Balance Beam,Bronze
136,Marshall Douglas,2000 Summer,Gymnastics,Men's Parallel Bars,Gold
137,Myrtle Robbins,2000 Summer,Gymnastics,Women's Floor Exercise,Silver
138,Julius Barnett,2000 Summer,Gymnastics,Women's Uneven Bars,Bronze
139,Melvin Goodwin,2000 Summer,Basketball,Men's Basketball,Gold
140,Russell Graves,2000 Summer,Basketball,Women's Basketball,Silver
141,Willard Fisher,2000 Summer,Football,Men's Football,Bronze
142,Henrietta Estrada,2000 Summer,Football,Women's Football,Gold
143,Leroy Klein,2000 Summer,Tennis,Men's Singles,Silver
144,Adele Harmon,2000 Summer,Tennis,Women's Singles,Bronze
145,Vernon Francis,2000 Summer,Tennis,Mixed Doubles,Gold
146,Delbert Love,2000 Summer,Boxing,Men's Lightweight,Silver
147,Oliver McKinney,2000 Summer,Boxing,Men's Heavyweight,Bronze
148,Cecelia Carpenter,2000 Summer,Boxing,Women's Flyweight,Gold
149,Rosie Medina,2000 Summer,Judo,Women's Lightweight,Silver
150,Pauline Wade,2000 Summer,Judo,Women's Heavyweight,Bronze
151,Wilfred Meyer,1996 Summer,Swimming,Men's 100m Freestyle,Gold
152,Leona Pena,1996 Summer,Swimming,Women's 200m Freestyle,Silver
153,Alex Caldwell,1996 Summer,Swimming,Men's 400m Freestyle,Bronze
154,Jane McKenzie,1996 Summer,Swimming,Women's 100m Backstroke,Gold
155,Trevor Fitzgerald,1996 Summer,Swimming,Men's 200m Backstroke,Silver
156,Loretta Brock,1996 Summer,Swimming,Women's 200m Butterfly,Bronze
157,Isaac Lloyd,1996 Summer,Athletics,Men's 100m,Gold
158,Mathew Holmes,1996 Summer,Athletics,Men's 200m,Silver
159,Gertrude Hicks,1996 Summer,Athletics,Women's 100m,Bronze
160,Jeanette Parks,1996 Summer,Athletics,Women's 200m,Gold
