year,country,total
1896,Australia,3
1896,Austria,5
1896,Denmark,6
1896,France,11
1896,Germany,32
1896,Greece,52
1896,Hungary,6
1896,Switzerland,3
1896,UK,9
1896,United States of America,20
1900,Australia,4
1900,Austria,6
1900,Belgium,45
1900,Cuba,2
1900,Czech Republic,3
1900,Denmark,9
1900,France,253
1900,Germany,45
1900,Hungary,5
1900,India,2
1900,Italy,5
1900,Mexico,3
1900,Netherlands,26
1900,Norway,9
1900,Spain,2
1900,Sweden,4
1900,Switzerland,22
1900,UK,100
1900,United States of America,59
1904,Canada,48
1904,Cuba,5
1904,Germany,14
1904,Greece,2
1904,Hungary,4
1904,UK,2
1904,United States of America,411
1908,Australia,19
1908,Austria,1
1908,Belgium,33
1908,Canada,51
1908,Czech Republic,6
1908,Denmark,17
1908,Finland,30
1908,France,40
1908,Germany,21
1908,Greece,4
1908,Hungary,19
1908,Italy,8
1908,Netherlands,16
1908,Norway,42
1908,Russia,3
1908,South Africa,2
1908,Sweden,84
1908,UK,368
1908,United States of America,65
1912,Australia,10
1912,Austria,14
1912,Belgium,19
1912,Canada,8
1912,Denmark,87
1912,Finland,71
1912,France,25
1912,Germany,52
1912,Greece,2
1912,Hungary,30
1912,Italy,23
1912,Netherlands,26
1912,Norway,80
1912,Russia,14
1912,South Africa,7
1912,Sweden,190
1912,UK,170
1912,United States of America,107
1920,Australia,6
1920,Belgium,181
1920,Brazil,7
1920,Canada,16
1920,Czech Republic,10
1920,Denmark,71
1920,Estonia,3
1920,Finland,52
1920,France,139
1920,Greece,5
1920,Italy,82
1920,Japan,3
1920,Luxembourg,1
1920,Netherlands,50
1920,New Zealand,1
1920,Norway,137
1920,South Africa,21
1920,Spain,23
1920,Sweden,154
1920,Switzerland,29
1920,UK,110
1920,United States of America,194
1924,Argentina,10
1924,Australia,9
1924,Austria,8
1924,Belgium,44
1924,Canada,29
1924,Czech Republic,10
1924,Denmark,12
1924,Estonia,6
1924,Finland,67
1924,France,117
1924,Haiti,5
1924,Hungary,22
1924,Italy,53
1924,Japan,1
1924,Netherlands,26
1924,New Zealand,1
1924,Norway,39
1924,Poland,5
1924,Portugal,4
1924,Romania,16
1924,Serbia,2
1924,South Africa,3
1924,Sweden,79
1924,Switzerland,69
1924,UK,82
1924,United States of America,193
1924,Uruguay,14
1928,Argentina,26
1928,Australia,4
1928,Austria,10
1928,Belgium,6
1928,Canada,45
1928,Chile,1
1928,Czech Republic,17
1928,Denmark,12
1928,Egypt,4
